policy,metric,status,full_mean,partial_mean,mean_label,topics_total,topics_observed,observed_topics,censored_topics
explore_10,recall_at_2R,CENSORED,CENSORED,0.7318687736940265,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
explore_10,recall_at_2R_plus_0,CENSORED,CENSORED,0.7318687736940265,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
explore_10,recall_at_2R_plus_100,CENSORED,CENSORED,0.773311942846835,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
explore_10,recall_at_2R_plus_1000,CENSORED,CENSORED,0.934472929353163,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
explore_10,recall_at_4R_plus_0,CENSORED,CENSORED,0.7462765563500544,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
explore_10,recall_at_4R_plus_100,CENSORED,CENSORED,0.859431652916205,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
explore_10,recall_at_4R_plus_1000,CENSORED,CENSORED,0.9111182530755084,PARTIAL recall mean: 2/5 topics,5,2,"C12,C16","C15,C18,GCRIM"
explore_10,recall_at_R,OBSERVED,0.6310854344650361,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,batch_effort_at_75,OBSERVED,1302.3333333333335,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,batch_effort_at_80,OBSERVED,1432.9999999999998,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,batch_effort_at_90,OBSERVED,2530.333333333333,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,depth_fraction_at_75,OBSERVED,0.055766267801344915,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,depth_fraction_at_80,OBSERVED,0.06151741615908535,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,depth_fraction_at_90,OBSERVED,0.10885711405820267,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,depth_per_positive_at_75,OBSERVED,2.005103357729246,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,depth_per_positive_at_80,OBSERVED,2.2485401599539165,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,depth_per_positive_at_90,OBSERVED,15.706412421304341,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,effort_at_75,OBSERVED,1290.9333333333334,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,effort_at_80,OBSERVED,1424.0666666666666,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,effort_at_90,OBSERVED,2519.9333333333334,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,recall_at_1000,OBSERVED,0.6640326625879146,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,recall_at_1R_plus_0,OBSERVED,0.6464142156563573,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,recall_at_1R_plus_100,OBSERVED,0.704154488075646,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
fixed_20,recall_at_1R_plus_1000,CENSORED,CENSORED,0.918765195400919,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
fixed_20,recall_at_2R,CENSORED,CENSORED,0.7416091769303632,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
fixed_20,recall_at_2R_plus_0,CENSORED,CENSORED,0.7416091769303632,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
fixed_20,recall_at_2R_plus_100,CENSORED,CENSORED,0.8023876617864638,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
fixed_20,recall_at_2R_plus_1000,CENSORED,CENSORED,0.9350431940592088,PARTIAL recall mean: 4/5 topics,5,4,"C12,C16,C18,GCRIM",C15
fixed_20,recall_at_4R_plus_0,CENSORED,CENSORED,0.7772837814009851,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
fixed_20,recall_at_4R_plus_100,CENSORED,CENSORED,0.8665940461893152,PARTIAL recall mean: 3/5 topics,5,3,"C12,C16,GCRIM","C15,C18"
fixed_20,recall_at_4R_plus_1000,CENSORED,CENSORED,0.9085917831699608,PARTIAL recall mean: 2/5 topics,5,2,"C12,C16","C15,C18,GCRIM"
fixed_20,recall_at_R,OBSERVED,0.6464142156563573,,Full mean: 5/5 topics,5,5,"C12,C15,C16,C18,GCRIM",
frozen_svm,batch_effort_at_75,CENSORED,CENSORED,,NOT COMPUTED: censored; no success-only effort mean,5,0,,"C12,C15,C16,C18,GCRIM"
