reviews,random,seed_similarity,frozen_svm,uncertainty,auto_tar,fixed_20,explore_10
123,0.012045926508223746,0.06204713452828593,0.06544522165813488,0.12112725467677339,0.1310728315266151,0.12579674979185065,0.12945268151738296
124,0.012061879287995623,0.062183480558572465,0.06706250515662314,0.12164745977627955,0.13191334602615828,0.1265195826203141,0.13033879565212902
125,0.012077832067767497,0.062394620204170734,0.06724445082211261,0.12213801802035462,0.13279946016090433,0.12717187779178626,0.1311633573719003
126,0.012077832067767497,0.06436185995812707,0.06733790879663114,0.122553782649118,0.13368557429565042,0.1279991510909925,0.13187449337891236
127,0.012109737627311247,0.06446855913298256,0.06764923295465171,0.12343989678386406,0.13416289133938855,0.12865144626246466,0.1325856293859244
128,0.012109737627311247,0.064795836070775,0.06797379831300922,0.12422157044786737,0.13504900547413462,0.12936258226947672,0.13342614388546756
129,0.012109737627311247,0.06493218210106153,0.06847334179910076,0.12471212869194243,0.1357441887013748,0.12983989931321485,0.13431225802021363
130,0.012109737627311247,0.0652435062590821,0.06900524372005828,0.12514384610047766,0.13663030283612088,0.13049219448468702,0.1349189535564829
131,0.012343556590585147,0.06545464590468036,0.06914158975034482,0.12545942621681874,0.13734143884313293,0.1309535587486533,0.1349189535564829
132,0.012343556590585147,0.06696477735299092,0.06959824518066836,0.12610900980885595,0.13805257485014494,0.1316736799976818,0.13580506769122896
133,0.012418350205896886,0.06733765392598628,0.06990956933868893,0.12646593360207947,0.13887984814935114,0.13225118155384222,0.13651620369824097
134,0.012434302985668765,0.0676781720641157,0.07001626851354442,0.12840397937592696,0.14108090686658142,0.13272849859758037,0.1373434769974472
135,0.012466208545212515,0.0678574061501702,0.07034354545133685,0.12854303698564842,0.1419670210013275,0.1349163161144737,0.13822959113219327
136,0.012466208545212515,0.0680525930159966,0.07046393870185153,0.12937031028485463,0.14285313513607356,0.13670857774069595,0.13883628666846254
137,0.012466208545212515,0.06821813302639197,0.0719152293146222,0.1298316745488209,0.1437392492708196,0.1371858947844341,0.1395474226754746
