n,positives,reviewed,found_at_20,precision_at_20,recall_at_20,found_at_100,precision_at_100,recall_at_100,found_at_500,precision_at_500,recall_at_500,found_at_1000,precision_at_1000,recall_at_1000,found_at_2000,precision_at_2000,recall_at_2000,found_at_5000,precision_at_5000,recall_at_5000,effort_at_75,wss_at_75,effort_at_90,wss_at_90,topic,seed,policy,seed_doc_id,fits,seconds,batch_effort_at_75,batch_effort_at_90
23149,49,5000,13,0.65,0.2653061224489796,31,0.31,0.6326530612244898,42,0.084,0.8571428571428571,42,0.042,0.8571428571428571,43,0.0215,0.8775510204081632,45,0.009,0.9183673469387755,181.0,0.7421810877359714,4965.0,0.6855198928679425,C16,47,auto_tar,2729,47,1.7711454830000548,203.0,5000.0
23149,49,5000,2,0.1,0.04081632653061224,29,0.29,0.5918367346938775,42,0.084,0.8571428571428571,42,0.042,0.8571428571428571,43,0.0215,0.8775510204081632,45,0.009,0.9183673469387755,207.0,0.7410579290682103,4979.0,0.6849151151237635,C16,47,fixed_20,2729,250,10.324488850999842,221.0,4981.0
23149,49,5000,13,0.65,0.2653061224489796,31,0.31,0.6326530612244898,42,0.084,0.8571428571428571,42,0.042,0.8571428571428571,43,0.0215,0.8775510204081632,44,0.0088,0.8979591836734694,181.0,0.7421810877359714,,,C16,47,explore_10,2729,47,1.444607686000154,203.0,
23149,1462,5000,2,0.1,0.0013679890560875513,8,0.08,0.005471956224350205,31,0.062,0.021203830369357045,75,0.075,0.05129958960328317,139,0.0695,0.09507523939808482,308,0.0616,0.2106703146374829,,,,,C18,11,random,5553,0,0.017993230999991283,,
23149,1462,5000,6,0.3,0.004103967168262654,51,0.51,0.03488372093023256,222,0.444,0.1518467852257182,374,0.374,0.2558139534883721,555,0.2775,0.3796169630642955,873,0.1746,0.5971272229822161,,,,,C18,11,seed_similarity,5553,0,0.5590375809999841,,
23149,1462,5000,6,0.3,0.004103967168262654,53,0.53,0.03625170998632011,229,0.458,0.15663474692202461,368,0.368,0.25170998632010944,565,0.2825,0.38645690834473323,803,0.1606,0.5492476060191519,,,,,C18,11,frozen_svm,5553,1,0.3930467749999025,,
23149,1462,5000,13,0.65,0.008891928864569083,81,0.81,0.05540355677154583,282,0.564,0.19288645690834474,523,0.523,0.35772913816689467,917,0.4585,0.6272229822161423,1210,0.242,0.8276333789329685,2895.0,0.6249406021858396,,,C18,11,uncertainty,5553,47,6.426745770000025,3145.0,
23149,1462,5000,16,0.8,0.01094391244870041,83,0.83,0.05677154582763338,442,0.884,0.3023255813953488,850,0.85,0.5813953488372093,1293,0.6465,0.884404924760602,1432,0.2864,0.9794801641586868,1413.0,0.6889606462482181,2091.0,0.8096721240658344,C18,11,auto_tar,5553,47,5.153757804999941,1527.0,2317.0
23149,1462,5000,6,0.3,0.004103967168262654,82,0.82,0.0560875512995896,440,0.88,0.3009575923392613,854,0.854,0.5841313269493844,1307,0.6535,0.8939808481532148,1432,0.2864,0.9794801641586868,1383.0,0.6902565985571731,2078.0,0.8102337033997149,C18,11,fixed_20,5553,250,75.072183343,1401.0,2081.0
23149,1462,5000,16,0.8,0.01094391244870041,79,0.79,0.054035567715458276,410,0.82,0.280437756497948,791,0.791,0.5410396716826266,1258,0.629,0.8604651162790697,1429,0.2858,0.9774281805745554,1539.0,0.683517646550607,2262.0,0.8022851959047907,C18,11,explore_10,5553,47,7.116164245999926,1697.0,2317.0
