metric,method_a,method_b,topics_total,censored_topics,topic,status,difference
batch_effort_at_80,uncertainty,explore_10,5,"C15,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_80,auto_tar,fixed_20,5,,C12,OBSERVED,94.66666666666667
batch_effort_at_80,auto_tar,fixed_20,5,,C15,OBSERVED,359.3333333333333
batch_effort_at_80,auto_tar,fixed_20,5,,C16,OBSERVED,28.333333333333332
batch_effort_at_80,auto_tar,fixed_20,5,,C18,OBSERVED,122.66666666666667
batch_effort_at_80,auto_tar,fixed_20,5,,GCRIM,OBSERVED,58.666666666666664
batch_effort_at_80,auto_tar,explore_10,5,,C12,OBSERVED,-25.666666666666668
batch_effort_at_80,auto_tar,explore_10,5,,C15,OBSERVED,-135.0
batch_effort_at_80,auto_tar,explore_10,5,,C16,OBSERVED,13.666666666666666
batch_effort_at_80,auto_tar,explore_10,5,,C18,OBSERVED,-187.0
batch_effort_at_80,auto_tar,explore_10,5,,GCRIM,OBSERVED,-140.0
batch_effort_at_80,fixed_20,explore_10,5,,C12,OBSERVED,-120.33333333333333
batch_effort_at_80,fixed_20,explore_10,5,,C15,OBSERVED,-494.3333333333333
batch_effort_at_80,fixed_20,explore_10,5,,C16,OBSERVED,-14.666666666666666
batch_effort_at_80,fixed_20,explore_10,5,,C18,OBSERVED,-309.6666666666667
batch_effort_at_80,fixed_20,explore_10,5,,GCRIM,OBSERVED,-198.66666666666666
batch_effort_at_90,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_90,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_90,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_90,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_90,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_90,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_90,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_90,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_90,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_90,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_90,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_90,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_90,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_90,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_90,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_90,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_90,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_90,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_90,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_90,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_90,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_90,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_90,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_90,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_90,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_90,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_90,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_90,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_90,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_90,random,explore_10,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_90,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_90,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_90,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_90,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_90,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
